epoch,lr,step,train/cls_loss,train/grad_cosine,train/grad_norm_cls,train/grad_norm_jepa,train/jepa_loss,train_loss
0,0.0003000000142492354,9,876.5917358398438,0.1491706818342209,667518.625,13.792780876159668,0.4186662435531616,877.0103759765625
0,0.0003000000142492354,19,181.1268768310547,-0.0192569587379694,538.628173828125,0.004711580462753773,0.20580202341079712,181.33267211914062
0,0.0003000000142492354,29,220.94512939453125,0.0005934316432103515,43.56374740600586,0.00039026435115374625,0.148634672164917,221.09376525878906
0,0.0003000000142492354,39,188.89366149902344,-0.06386493146419525,43.40989685058594,0.00015382867422886193,0.13292613625526428,189.02658081054688
0,0.0003000000142492354,49,200.18511962890625,0.05171506851911545,44.65135192871094,0.00016559810319449753,0.1163819283246994,200.30149841308594
0,0.0003000000142492354,59,209.80657958984375,-0.023970503360033035,51.63895797729492,0.0002087330212816596,0.10134601593017578,209.90792846679688
0,0.0003000000142492354,69,175.13687133789062,0.0321553573012352,64.0555419921875,0.00017182597366627306,0.08346429467201233,175.2203369140625
0,0.0003000000142492354,79,184.5345001220703,-0.044511910527944565,65.13746643066406,0.00037883699405938387,0.0464901439845562,184.58099365234375
0,0.0003000000142492354,89,182.99449157714844,-0.025765029713511467,61.22515106201172,0.0010079299099743366,0.03307530656456947,183.02757263183594
0,0.0003000000142492354,99,158.77468872070312,0.05218811705708504,63.666019439697266,0.0003057272988371551,0.02612065151333809,158.80081176757812
0,0.0003000000142492354,109,176.00436401367188,-0.0029756403528153896,61.73874282836914,0.00013648858293890953,0.02240256778895855,176.02676391601562
0,0.0003000000142492354,119,185.7742156982422,-0.0980510339140892,63.437259674072266,6.481309537775815e-05,0.02001957967877388,185.7942352294922
0,0.0003000000142492354,129,166.915283203125,0.06622255593538284,55.08404541015625,7.175581413321197e-05,0.01747463084757328,166.93275451660156
0,0.0003000000142492354,139,179.51731872558594,0.0153079554438591,59.0570068359375,6.500464223790914e-05,0.015297174453735352,179.53262329101562
0,0.0003000000142492354,149,192.87423706054688,0.1175994873046875,62.052425384521484,5.0549762818263844e-05,0.014311378821730614,192.8885498046875
0,0.0003000000142492354,159,182.40347290039062,-0.021000836044549942,58.694156646728516,4.6636403567390516e-05,0.013114046305418015,182.4165802001953
