epoch,lr,step,train/cls_loss,train/jepa_loss,train_loss
0,0.0003000000142492354,9,1036.939453125,0.0,1036.939453125
0,0.0003000000142492354,19,189.3170166015625,0.0,189.3170166015625
0,0.0003000000142492354,29,163.75836181640625,0.0,163.75836181640625
0,0.0003000000142492354,39,174.93295288085938,0.0,174.93295288085938
0,0.0003000000142492354,49,164.84780883789062,0.0,164.84780883789062
0,0.0003000000142492354,59,157.0174102783203,0.0,157.0174102783203
0,0.0003000000142492354,69,172.239990234375,0.0,172.239990234375
0,0.0003000000142492354,79,162.93212890625,0.0,162.93212890625
0,0.0003000000142492354,89,172.3380126953125,0.0,172.3380126953125
0,0.0003000000142492354,99,151.64710998535156,0.0,151.64710998535156
0,0.0003000000142492354,109,157.44287109375,0.0,157.44287109375
0,0.0003000000142492354,119,178.34934997558594,0.0,178.34934997558594
0,0.0003000000142492354,129,161.42372131347656,0.0,161.42372131347656
0,0.0003000000142492354,139,154.40090942382812,0.0,154.40090942382812
0,0.0003000000142492354,149,155.99566650390625,0.0,155.99566650390625
0,0.0003000000142492354,159,150.97640991210938,0.0,150.97640991210938
0,0.0003000000142492354,169,154.44224548339844,0.0,154.44224548339844
0,0.0003000000142492354,179,167.17691040039062,0.0,167.17691040039062
0,0.0003000000142492354,189,170.791259765625,0.0,170.791259765625
0,0.0003000000142492354,199,158.239990234375,0.0,158.239990234375
0,0.0003000000142492354,209,167.61097717285156,0.0,167.61097717285156
0,0.0003000000142492354,219,162.6588134765625,0.0,162.6588134765625
0,0.0003000000142492354,229,161.20181274414062,0.0,161.20181274414062
0,0.0003000000142492354,239,170.98081970214844,0.0,170.98081970214844
0,0.0003000000142492354,249,164.00025939941406,0.0,164.00025939941406
0,0.0003000000142492354,259,165.97415161132812,0.0,165.97415161132812
0,0.0003000000142492354,269,178.6043701171875,0.0,178.6043701171875
0,0.0003000000142492354,279,157.5570526123047,0.0,157.5570526123047
0,0.0003000000142492354,289,180.0552978515625,0.0,180.0552978515625
0,0.0003000000142492354,299,159.82989501953125,0.0,159.82989501953125
0,0.0003000000142492354,309,159.2681121826172,0.0,159.2681121826172
0,0.0003000000142492354,319,169.00860595703125,0.0,169.00860595703125
0,0.0003000000142492354,329,181.96261596679688,0.0,181.96261596679688
0,0.0003000000142492354,339,161.09971618652344,0.0,161.09971618652344
0,0.0003000000142492354,349,155.220458984375,0.0,155.220458984375
0,0.0003000000142492354,359,159.0232696533203,0.0,159.0232696533203
0,0.0003000000142492354,369,158.5875244140625,0.0,158.5875244140625
0,0.0003000000142492354,379,147.69650268554688,0.0,147.69650268554688
0,0.0003000000142492354,389,169.5745849609375,0.0,169.5745849609375
0,0.0003000000142492354,399,184.72763061523438,0.0,184.72763061523438
0,0.0003000000142492354,409,160.14120483398438,0.0,160.14120483398438
